Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T937:	135 = INIT1
T938:	135 = NOR(114, 134)
T939:	136 = INIT1
T940:	136 = NOR(133, 134)
T941:	137 = INIT1
T942:	137 = NOR(135, 136)
T943:	135 = INIT1
T944:	135 = NOR(137, 132)
T945:	136 = INIT1
T946:	136 = NOR(135, 137)
T947:	137 = INIT1
T948:	137 = NOR(135, 132)
T949:	114 = INIT1
T950:	114 = NOR(137, 136)
T951:	132 = INIT1
T952:	132 = NOR(134, 135)
T953:	134 = INIT1
T954:	134 = NOT(55)
T955:	135 = INIT1
T956:	135 = NOR(55, 98)
T957:	136 = INIT1
T958:	136 = NOR(134, 129)
T959:	133 = INIT1
T960:	133 = NOR(135, 136)
T961:	134 = INIT1
T962:	134 = NOR(115, 133)
T963:	135 = INIT1
T964:	135 = NOR(115, 134)
T965:	136 = INIT1
T966:	136 = NOR(133, 134)
T967:	137 = INIT1
T968:	137 = NOR(135, 136)
T969:	135 = INIT1
T970:	135 = NOR(137, 132)
T971:	136 = INIT1
T972:	136 = NOR(135, 137)
T973:	137 = INIT1
T974:	137 = NOR(135, 132)
T975:	115 = INIT1
T976:	115 = NOR(137, 136)
T977:	132 = INIT1
T978:	132 = NOR(134, 135)
T979:	134 = INIT1
T980:	134 = NOT(56)
T981:	135 = INIT1
T982:	135 = NOR(56, 98)
T983:	136 = INIT1
T984:	136 = NOR(134, 129)
T985:	133 = INIT1
T986:	133 = NOR(135, 136)
T987:	134 = INIT1
T988:	134 = NOR(116, 133)
T989:	135 = INIT1
T990:	135 = NOR(116, 134)
T991:	136 = INIT1
T992:	136 = NOR(133, 134)
T993:	137 = INIT1
T994:	137 = NOR(135, 136)
T995:	135 = INIT1
T996:	135 = NOR(137, 132)
T997:	136 = INIT1
T998:	136 = NOR(135, 137)
T999:	137 = INIT1
T1000:	137 = NOR(135, 132)
T1001:	116 = INIT1
T1002:	116 = NOR(137, 136)
T1003:	132 = INIT1
T1004:	132 = NOR(134, 135)
T1005:	134 = INIT1
T1006:	134 = NOT(57)
T1007:	135 = INIT1
T1008:	135 = NOR(57, 98)
T1009:	136 = INIT1
T1010:	136 = NOR(134, 129)
T1011:	133 = INIT1
T1012:	133 = NOR(135, 136)
T1013:	134 = INIT1
T1014:	134 = NOR(117, 133)
T1015:	135 = INIT1
T1016:	135 = NOR(117, 134)
T1017:	136 = INIT1
T1018:	136 = NOR(133, 134)
T1019:	137 = INIT1
T1020:	137 = NOR(135, 136)
T1021:	135 = INIT1
T1022:	135 = NOR(137, 132)
T1023:	136 = INIT1
T1024:	136 = NOR(135, 137)
T1025:	137 = INIT1
T1026:	137 = NOR(135, 132)
T1027:	117 = INIT1
T1028:	117 = NOR(137, 136)
T1029:	132 = INIT1
T1030:	132 = NOR(134, 135)
T1031:	134 = INIT1
T1032:	134 = NOT(58)
T1033:	135 = INIT1
T1034:	135 = NOR(58, 98)
T1035:	136 = INIT1
T1036:	136 = NOR(134, 129)
T1037:	133 = INIT1
T1038:	133 = NOR(135, 136)
T1039:	134 = INIT1
T1040:	134 = NOR(118, 133)
T1041:	135 = INIT1
T1042:	135 = NOR(118, 134)
T1043:	136 = INIT1
T1044:	136 = NOR(133, 134)
T1045:	137 = INIT1
T1046:	137 = NOR(135, 136)
T1047:	135 = INIT1
T1048:	135 = NOR(137, 132)
T1049:	136 = INIT1
T1050:	136 = NOR(135, 137)
T1051:	137 = INIT1
T1052:	137 = NOR(135, 132)
T1053:	118 = INIT1
T1054:	118 = NOR(137, 136)
T1055:	132 = INIT1
T1056:	132 = NOR(134, 135)
T1057:	134 = INIT1
T1058:	134 = NOT(59)
T1059:	135 = INIT1
T1060:	135 = NOR(59, 98)
T1061:	136 = INIT1
T1062:	136 = NOR(134, 129)
T1063:	133 = INIT1
T1064:	133 = NOR(135, 136)
T1065:	134 = INIT1
T1066:	134 = NOR(119, 133)
T1067:	135 = INIT1
T1068:	135 = NOR(119, 134)
T1069:	136 = INIT1
T1070:	136 = NOR(133, 134)
T1071:	137 = INIT1
T1072:	137 = NOR(135, 136)
T1073:	135 = INIT1
T1074:	135 = NOR(137, 132)
T1075:	136 = INIT1
T1076:	136 = NOR(135, 137)
T1077:	137 = INIT1
T1078:	137 = NOR(135, 132)
T1079:	119 = INIT1
T1080:	119 = NOR(137, 136)
T1081:	132 = INIT1
T1082:	132 = NOR(134, 135)
T1083:	134 = INIT1
T1084:	134 = NOT(60)
T1085:	135 = INIT1
T1086:	135 = NOR(60, 98)
T1087:	136 = INIT1
T1088:	136 = NOR(134, 129)
T1089:	133 = INIT1
T1090:	133 = NOR(135, 136)
T1091:	134 = INIT1
T1092:	134 = NOR(120, 133)
T1093:	135 = INIT1
T1094:	135 = NOR(120, 134)
T1095:	136 = INIT1
T1096:	136 = NOR(133, 134)
T1097:	137 = INIT1
T1098:	137 = NOR(135, 136)
T1099:	135 = INIT1
T1100:	135 = NOR(137, 132)
T1101:	136 = INIT1
T1102:	136 = NOR(135, 137)
T1103:	137 = INIT1
T1104:	137 = NOR(135, 132)
T1105:	120 = INIT1
T1106:	120 = NOR(137, 136)
T1107:	132 = INIT1
T1108:	132 = NOR(134, 135)
T1109:	134 = INIT1
T1110:	134 = NOT(61)
T1111:	135 = INIT1
T1112:	135 = NOR(61, 98)
T1113:	136 = INIT1
T1114:	136 = NOR(134, 129)
T1115:	133 = INIT1
T1116:	133 = NOR(135, 136)
T1117:	134 = INIT1
T1118:	134 = NOR(121, 133)
T1119:	135 = INIT1
T1120:	135 = NOR(121, 134)
T1121:	136 = INIT1
T1122:	136 = NOR(133, 134)
T1123:	137 = INIT1
T1124:	137 = NOR(135, 136)
T1125:	135 = INIT1
T1126:	135 = NOR(137, 132)
T1127:	136 = INIT1
T1128:	136 = NOR(135, 137)
T1129:	137 = INIT1
T1130:	137 = NOR(135, 132)
T1131:	121 = INIT1
T1132:	121 = NOR(137, 136)
T1133:	132 = INIT1
T1134:	132 = NOR(134, 135)
T1135:	134 = INIT1
T1136:	134 = NOT(62)
T1137:	135 = INIT1
T1138:	135 = NOR(62, 98)
T1139:	136 = INIT1
T1140:	136 = NOR(134, 129)
T1141:	133 = INIT1
T1142:	133 = NOR(135, 136)
T1143:	134 = INIT1
T1144:	134 = NOR(122, 133)
T1145:	135 = INIT1
T1146:	135 = NOR(122, 134)
T1147:	136 = INIT1
T1148:	136 = NOR(133, 134)
T1149:	137 = INIT1
T1150:	137 = NOR(135, 136)
T1151:	135 = INIT1
T1152:	135 = NOR(137, 132)
T1153:	136 = INIT1
T1154:	136 = NOR(135, 137)
T1155:	137 = INIT1
T1156:	137 = NOR(135, 132)
T1157:	122 = INIT1
T1158:	122 = NOR(137, 136)
T1159:	132 = INIT1
T1160:	132 = NOR(134, 135)
T1161:	134 = INIT1
T1162:	134 = NOT(63)
T1163:	135 = INIT1
T1164:	135 = NOR(63, 98)
T1165:	136 = INIT1
T1166:	136 = NOR(134, 129)
T1167:	133 = INIT1
T1168:	133 = NOR(135, 136)
T1169:	134 = INIT1
T1170:	134 = NOR(123, 133)
T1171:	135 = INIT1
T1172:	135 = NOR(123, 134)
T1173:	136 = INIT1
T1174:	136 = NOR(133, 134)
T1175:	137 = INIT1
T1176:	137 = NOR(135, 136)
T1177:	135 = INIT1
T1178:	135 = NOR(137, 132)
T1179:	136 = INIT1
T1180:	136 = NOR(135, 137)
T1181:	137 = INIT1
T1182:	137 = NOR(135, 132)
T1183:	123 = INIT1
T1184:	123 = NOR(137, 136)
T1185:	132 = INIT1
T1186:	132 = NOR(134, 135)
T1187:	134 = INIT1
T1188:	134 = NOT(97)
T1189:	135 = INIT1
T1190:	135 = NOR(97, 98)
T1191:	136 = INIT1
T1192:	136 = NOR(134, 129)
T1193:	133 = INIT1
T1194:	133 = NOR(135, 136)
T1195:	134 = INIT1
T1196:	134 = NOR(124, 133)
T1197:	135 = INIT1
T1198:	135 = NOR(124, 134)
T1199:	136 = INIT1
T1200:	136 = NOR(133, 134)
T1201:	137 = INIT1
T1202:	137 = NOR(135, 136)
T1203:	135 = INIT1
T1204:	135 = NOR(137, 132)
T1205:	136 = INIT1
T1206:	136 = NOR(135, 137)
T1207:	137 = INIT1
T1208:	137 = NOR(135, 132)
T1209:	124 = INIT1
T1210:	124 = NOR(137, 136)
T1211:	132 = INIT1
T1212:	132 = NOR(134, 135)
T1213:	134 = INIT1
T1214:	134 = NOT(99)
T1215:	135 = INIT1
T1216:	135 = NOR(99, 98)
T1217:	136 = INIT1
T1218:	136 = NOR(134, 129)
T1219:	133 = INIT1
T1220:	133 = NOR(135, 136)
T1221:	134 = INIT1
T1222:	134 = NOR(125, 133)
T1223:	135 = INIT1
T1224:	135 = NOR(125, 134)
T1225:	136 = INIT1
T1226:	136 = NOR(133, 134)
T1227:	137 = INIT1
T1228:	137 = NOR(135, 136)
T1229:	135 = INIT1
T1230:	135 = NOR(137, 132)
T1231:	136 = INIT1
T1232:	136 = NOR(135, 137)
T1233:	137 = INIT1
T1234:	137 = NOR(135, 132)
T1235:	125 = INIT1
T1236:	125 = NOR(137, 136)
T1237:	132 = INIT1
T1238:	132 = NOR(134, 135)
T1239:	134 = INIT1
T1240:	134 = NOT(99)
T1241:	135 = INIT1
T1242:	135 = NOR(99, 98)
T1243:	136 = INIT1
T1244:	136 = NOR(134, 129)
T1245:	133 = INIT1
T1246:	133 = NOR(135, 136)
T1247:	134 = INIT1
T1248:	134 = NOR(126, 133)
T1249:	135 = INIT1
T1250:	135 = NOR(126, 134)
T1251:	136 = INIT1
T1252:	136 = NOR(133, 134)
T1253:	137 = INIT1
T1254:	137 = NOR(135, 136)
T1255:	135 = INIT1
T1256:	135 = NOR(137, 132)
T1257:	136 = INIT1
T1258:	136 = NOR(135, 137)
T1259:	137 = INIT1
T1260:	137 = NOR(135, 132)
T1261:	126 = INIT1
T1262:	126 = NOR(137, 136)
T1263:	132 = INIT1
T1264:	132 = NOR(134, 135)
T1265:	133 = INIT1
T1266:	133 = NOR(127, 98)
T1267:	134 = INIT1
T1268:	134 = NOR(127, 133)
T1269:	135 = INIT1
T1270:	135 = NOR(98, 133)
T1271:	136 = INIT1
T1272:	136 = NOR(134, 135)
T1273:	134 = INIT1
T1274:	134 = NOR(136, 132)
T1275:	135 = INIT1
T1276:	135 = NOR(134, 136)
T1277:	136 = INIT1
T1278:	136 = NOR(134, 132)
T1279:	127 = INIT1
T1280:	127 = NOR(136, 135)
T1281:	132 = INIT1
T1282:	132 = NOR(133, 134)
T1283:	133 = INIT1
T1284:	133 = NOR(128, 98)
T1285:	134 = INIT1
T1286:	134 = NOR(128, 133)
T1287:	135 = INIT1
T1288:	135 = NOR(98, 133)
T1289:	136 = INIT1
T1290:	136 = NOR(134, 135)
T1291:	134 = INIT1
T1292:	134 = NOR(136, 132)
T1293:	135 = INIT1
T1294:	135 = NOR(134, 136)
T1295:	136 = INIT1
T1296:	136 = NOR(134, 132)
T1297:	128 = INIT1
T1298:	128 = NOR(136, 135)
T1299:	132 = INIT1
T1300:	132 = NOR(133, 134)
T1301:	95  = INIT1
T1302:	95  = NOT(128)
T1303:	129 = INIT1
T1304:	129 = NOT(95)
T1305:	134 = INIT1
T1306:	134 = NOT(41)
T1307:	135 = INIT1
T1308:	135 = NOR(41, 95)
T1309:	136 = INIT1
T1310:	136 = NOR(134, 129)
T1311:	133 = INIT1
T1312:	133 = NOR(135, 136)
T1313:	134 = INIT1
T1314:	134 = NOR(99, 133)
T1315:	135 = INIT1
T1316:	135 = NOR(99, 134)
T1317:	136 = INIT1
T1318:	136 = NOR(133, 134)
T1319:	137 = INIT1
T1320:	137 = NOR(135, 136)
T1321:	135 = INIT1
T1322:	135 = NOR(137, 95)
T1323:	136 = INIT1
T1324:	136 = NOR(135, 137)
T1325:	137 = INIT1
T1326:	137 = NOR(135, 95)
T1327:	128 = INIT1
T1328:	128 = NOR(137, 136)
T1329:	132 = INIT1
T1330:	132 = NOR(134, 135)
T1331:	134 = INIT1
T1332:	134 = NOT(42)
T1333:	135 = INIT1
T1334:	135 = NOR(42, 95)
T1335:	136 = INIT1
T1336:	136 = NOR(134, 129)
T1337:	133 = INIT1
T1338:	133 = NOR(135, 136)
T1339:	134 = INIT1
T1340:	134 = NOR(130, 133)
T1341:	135 = INIT1
T1342:	135 = NOR(130, 134)
T1343:	136 = INIT1
T1344:	136 = NOR(133, 134)
T1345:	137 = INIT1
T1346:	137 = NOR(135, 136)
T1347:	135 = INIT1
T1348:	135 = NOR(137, 132)
T1349:	136 = INIT1
T1350:	136 = NOR(135, 137)
T1351:	137 = INIT1
T1352:	137 = NOR(135, 132)
T1353:	130 = INIT1
T1354:	130 = NOR(137, 136)
T1355:	132 = INIT1
T1356:	132 = NOR(134, 135)
T1357:	134 = INIT1
T1358:	134 = NOT(43)
T1359:	135 = INIT1
T1360:	135 = NOR(43, 95)
T1361:	136 = INIT1
T1362:	136 = NOR(134, 129)
T1363:	133 = INIT1
T1364:	133 = NOR(135, 136)
T1365:	134 = INIT1
T1366:	134 = NOR(131, 133)
T1367:	135 = INIT1
T1368:	135 = NOR(131, 134)
T1369:	136 = INIT1
T1370:	136 = NOR(133, 134)
T1371:	137 = INIT1
T1372:	137 = NOR(135, 136)
T1373:	135 = INIT1
T1374:	135 = NOR(137, 132)
T1375:	136 = INIT1
T1376:	136 = NOR(135, 137)
T1377:	137 = INIT1
T1378:	137 = NOR(135, 132)
T1379:	131 = INIT1
T1380:	131 = NOR(137, 136)
T1381:	132 = INIT1
T1382:	132 = NOR(134, 135)
T1383:	134 = INIT1
T1384:	134 = NOT(44)
T1385:	135 = INIT1
T1386:	135 = NOR(44, 95)
T1387:	136 = INIT1
T1388:	136 = NOR(134, 129)
T1389:	133 = INIT1
T1390:	133 = NOR(135, 136)
T1391:	134 = INIT1
T1392:	134 = NOR(103, 133)
T1393:	135 = INIT1
T1394:	135 = NOR(103, 134)
T1395:	136 = INIT1
T1396:	136 = NOR(133, 134)
T1397:	137 = INIT1
T1398:	137 = NOR(135, 136)
T1399:	135 = INIT1
T1400:	135 = NOR(137, 132)
T1401:	136 = INIT1
T1402:	136 = NOR(135, 137)
T1403:	137 = INIT1
T1404:	137 = NOR(135, 132)
T1405:	103 = INIT1
T1406:	103 = NOR(137, 136)
T1407:	132 = INIT1
T1408:	132 = NOR(134, 135)
T1409:	134 = INIT1
T1410:	134 = NOT(45)
T1411:	135 = INIT1
T1412:	135 = NOR(45, 95)
T1413:	136 = INIT1
T1414:	136 = NOR(134, 129)
T1415:	133 = INIT1
T1416:	133 = NOR(135, 136)
T1417:	134 = INIT1
T1418:	134 = NOR(104, 133)
T1419:	135 = INIT1
T1420:	135 = NOR(104, 134)
T1421:	136 = INIT1
T1422:	136 = NOR(133, 134)
T1423:	137 = INIT1
T1424:	137 = NOR(135, 136)
T1425:	135 = INIT1
T1426:	135 = NOR(137, 132)
T1427:	136 = INIT1
T1428:	136 = NOR(135, 137)
T1429:	137 = INIT1
T1430:	137 = NOR(135, 132)
T1431:	104 = INIT1
T1432:	104 = NOR(137, 136)
T1433:	132 = INIT1
T1434:	132 = NOR(134, 135)
T1435:	134 = INIT1
T1436:	134 = NOT(46)
T1437:	135 = INIT1
T1438:	135 = NOR(46, 95)
T1439:	136 = INIT1
T1440:	136 = NOR(134, 129)
T1441:	133 = INIT1
T1442:	133 = NOR(135, 136)
T1443:	134 = INIT1
T1444:	134 = NOR(105, 133)
T1445:	135 = INIT1
T1446:	135 = NOR(105, 134)
T1447:	136 = INIT1
T1448:	136 = NOR(133, 134)
T1449:	137 = INIT1
T1450:	137 = NOR(135, 136)
T1451:	135 = INIT1
T1452:	135 = NOR(137, 132)
T1453:	136 = INIT1
T1454:	136 = NOR(135, 137)
T1455:	137 = INIT1
T1456:	137 = NOR(135, 132)
T1457:	105 = INIT1
T1458:	105 = NOR(137, 136)
T1459:	132 = INIT1
T1460:	132 = NOR(134, 135)
T1461:	134 = INIT1
T1462:	134 = NOT(47)
T1463:	135 = INIT1
T1464:	135 = NOR(47, 95)
T1465:	136 = INIT1
T1466:	136 = NOR(134, 129)
T1467:	133 = INIT1
T1468:	133 = NOR(135, 136)
T1469:	134 = INIT1
T1470:	134 = NOR(106, 133)
T1471:	135 = INIT1
T1472:	135 = NOR(106, 134)
T1473:	136 = INIT1
T1474:	136 = NOR(133, 134)
T1475:	137 = INIT1
T1476:	137 = NOR(135, 136)
T1477:	135 = INIT1
T1478:	135 = NOR(137, 132)
T1479:	136 = INIT1
T1480:	136 = NOR(135, 137)
T1481:	137 = INIT1
T1482:	137 = NOR(135, 132)
T1483:	106 = INIT1
T1484:	106 = NOR(137, 136)
T1485:	132 = INIT1
T1486:	132 = NOR(134, 135)
T1487:	134 = INIT1
T1488:	134 = NOT(48)
T1489:	135 = INIT1
T1490:	135 = NOR(48, 95)
T1491:	136 = INIT1
T1492:	136 = NOR(134, 129)
T1493:	133 = INIT1
T1494:	133 = NOR(135, 136)
T1495:	134 = INIT1
T1496:	134 = NOR(107, 133)
T1497:	135 = INIT1
T1498:	135 = NOR(107, 134)
T1499:	136 = INIT1
T1500:	136 = NOR(133, 134)
T1501:	137 = INIT1
T1502:	137 = NOR(135, 136)
T1503:	135 = INIT1
T1504:	135 = NOR(137, 132)
T1505:	136 = INIT1
T1506:	136 = NOR(135, 137)
T1507:	137 = INIT1
T1508:	137 = NOR(135, 132)
T1509:	107 = INIT1
T1510:	107 = NOR(137, 136)
T1511:	132 = INIT1
T1512:	132 = NOR(134, 135)
T1513:	134 = INIT1
T1514:	134 = NOT(49)
T1515:	135 = INIT1
T1516:	135 = NOR(49, 95)
T1517:	136 = INIT1
T1518:	136 = NOR(134, 129)
T1519:	133 = INIT1
T1520:	133 = NOR(135, 136)
T1521:	134 = INIT1
T1522:	134 = NOR(108, 133)
T1523:	135 = INIT1
T1524:	135 = NOR(108, 134)
T1525:	136 = INIT1
T1526:	136 = NOR(133, 134)
T1527:	137 = INIT1
T1528:	137 = NOR(135, 136)
T1529:	135 = INIT1
T1530:	135 = NOR(137, 132)
T1531:	136 = INIT1
T1532:	136 = NOR(135, 137)
T1533:	137 = INIT1
T1534:	137 = NOR(135, 132)
T1535:	108 = INIT1
T1536:	108 = NOR(137, 136)
T1537:	132 = INIT1
T1538:	132 = NOR(134, 135)
T1539:	134 = INIT1
T1540:	134 = NOT(50)
T1541:	135 = INIT1
T1542:	135 = NOR(50, 95)
T1543:	136 = INIT1
T1544:	136 = NOR(134, 129)
T1545:	133 = INIT1
T1546:	133 = NOR(135, 136)
T1547:	134 = INIT1
T1548:	134 = NOR(109, 133)
T1549:	135 = INIT1
T1550:	135 = NOR(109, 134)
T1551:	136 = INIT1
T1552:	136 = NOR(133, 134)
T1553:	137 = INIT1
T1554:	137 = NOR(135, 136)
T1555:	135 = INIT1
T1556:	135 = NOR(137, 132)
T1557:	136 = INIT1
T1558:	136 = NOR(135, 137)
T1559:	137 = INIT1
T1560:	137 = NOR(135, 132)
T1561:	109 = INIT1
T1562:	109 = NOR(137, 136)
T1563:	132 = INIT1
T1564:	132 = NOR(134, 135)
T1565:	134 = INIT1
T1566:	134 = NOT(51)
T1567:	135 = INIT1
T1568:	135 = NOR(51, 95)
T1569:	136 = INIT1
T1570:	136 = NOR(134, 129)
T1571:	133 = INIT1
T1572:	133 = NOR(135, 136)
T1573:	134 = INIT1
T1574:	134 = NOR(110, 133)
T1575:	135 = INIT1
T1576:	135 = NOR(110, 134)
T1577:	136 = INIT1
T1578:	136 = NOR(133, 134)
T1579:	137 = INIT1
T1580:	137 = NOR(135, 136)
T1581:	135 = INIT1
T1582:	135 = NOR(137, 132)
T1583:	136 = INIT1
T1584:	136 = NOR(135, 137)
T1585:	137 = INIT1
T1586:	137 = NOR(135, 132)
T1587:	110 = INIT1
T1588:	110 = NOR(137, 136)
T1589:	132 = INIT1
T1590:	132 = NOR(134, 135)
T1591:	134 = INIT1
T1592:	134 = NOT(52)
T1593:	135 = INIT1
T1594:	135 = NOR(52, 95)
T1595:	136 = INIT1
T1596:	136 = NOR(134, 129)
T1597:	133 = INIT1
T1598:	133 = NOR(135, 136)
T1599:	134 = INIT1
T1600:	134 = NOR(111, 133)
T1601:	135 = INIT1
T1602:	135 = NOR(111, 134)
T1603:	136 = INIT1
T1604:	136 = NOR(133, 134)
T1605:	137 = INIT1
T1606:	137 = NOR(135, 136)
T1607:	135 = INIT1
T1608:	135 = NOR(137, 132)
T1609:	136 = INIT1
T1610:	136 = NOR(135, 137)
T1611:	137 = INIT1
T1612:	137 = NOR(135, 132)
T1613:	111 = INIT1
T1614:	111 = NOR(137, 136)
T1615:	132 = INIT1
T1616:	132 = NOR(134, 135)
T1617:	134 = INIT1
T1618:	134 = NOT(53)
T1619:	135 = INIT1
T1620:	135 = NOR(53, 95)
T1621:	136 = INIT1
T1622:	136 = NOR(134, 129)
T1623:	133 = INIT1
T1624:	133 = NOR(135, 136)
T1625:	134 = INIT1
T1626:	134 = NOR(112, 133)
T1627:	135 = INIT1
T1628:	135 = NOR(112, 134)
T1629:	136 = INIT1
T1630:	136 = NOR(133, 134)
T1631:	137 = INIT1
T1632:	137 = NOR(135, 136)
T1633:	135 = INIT1
T1634:	135 = NOR(137, 132)
T1635:	136 = INIT1
T1636:	136 = NOR(135, 137)
T1637:	137 = INIT1
T1638:	137 = NOR(135, 132)
T1639:	112 = INIT1
T1640:	112 = NOR(137, 136)
T1641:	132 = INIT1
T1642:	132 = NOR(134, 135)
T1643:	134 = INIT1
T1644:	134 = NOT(54)
T1645:	135 = INIT1
T1646:	135 = NOR(54, 95)
T1647:	136 = INIT1
T1648:	136 = NOR(134, 129)
T1649:	133 = INIT1
T1650:	133 = NOR(135, 136)
T1651:	134 = INIT1
T1652:	134 = NOR(113, 133)
T1653:	135 = INIT1
T1654:	135 = NOR(113, 134)
T1655:	136 = INIT1
T1656:	136 = NOR(133, 134)
T1657:	137 = INIT1
T1658:	137 = NOR(135, 136)
T1659:	135 = INIT1
T1660:	135 = NOR(137, 132)
T1661:	136 = INIT1
T1662:	136 = NOR(135, 137)
T1663:	137 = INIT1
T1664:	137 = NOR(135, 132)
T1665:	113 = INIT1
T1666:	113 = NOR(137, 136)
T1667:	132 = INIT1
T1668:	132 = NOR(134, 135)
T1669:	134 = INIT1
T1670:	134 = NOT(55)
T1671:	135 = INIT1
T1672:	135 = NOR(55, 95)
T1673:	136 = INIT1
T1674:	136 = NOR(134, 129)
T1675:	133 = INIT1
T1676:	133 = NOR(135, 136)
T1677:	134 = INIT1
T1678:	134 = NOR(114, 133)
T1679:	135 = INIT1
T1680:	135 = NOR(114, 134)
T1681:	136 = INIT1
T1682:	136 = NOR(133, 134)
T1683:	137 = INIT1
T1684:	137 = NOR(135, 136)
T1685:	135 = INIT1
T1686:	135 = NOR(137, 132)
T1687:	136 = INIT1
T1688:	136 = NOR(135, 137)
T1689:	137 = INIT1
T1690:	137 = NOR(135, 132)
T1691:	114 = INIT1
T1692:	114 = NOR(137, 136)
T1693:	132 = INIT1
T1694:	132 = NOR(134, 135)
T1695:	134 = INIT1
T1696:	134 = NOT(56)
T1697:	135 = INIT1
T1698:	135 = NOR(56, 95)
T1699:	136 = INIT1
T1700:	136 = NOR(134, 129)
T1701:	133 = INIT1
T1702:	133 = NOR(135, 136)
T1703:	134 = INIT1
T1704:	134 = NOR(115, 133)
T1705:	135 = INIT1
T1706:	135 = NOR(115, 134)
T1707:	136 = INIT1
T1708:	136 = NOR(133, 134)
T1709:	137 = INIT1
T1710:	137 = NOR(135, 136)
T1711:	135 = INIT1
T1712:	135 = NOR(137, 132)
T1713:	136 = INIT1
T1714:	136 = NOR(135, 137)
T1715:	137 = INIT1
T1716:	137 = NOR(135, 132)
T1717:	115 = INIT1
T1718:	115 = NOR(137, 136)
T1719:	132 = INIT1
T1720:	132 = NOR(134, 135)
T1721:	134 = INIT1
T1722:	134 = NOT(57)
T1723:	135 = INIT1
T1724:	135 = NOR(57, 95)
T1725:	136 = INIT1
T1726:	136 = NOR(134, 129)
T1727:	133 = INIT1
T1728:	133 = NOR(135, 136)
T1729:	134 = INIT1
T1730:	134 = NOR(116, 133)
T1731:	135 = INIT1
T1732:	135 = NOR(116, 134)
T1733:	136 = INIT1
T1734:	136 = NOR(133, 134)
T1735:	137 = INIT1
T1736:	137 = NOR(135, 136)
T1737:	135 = INIT1
T1738:	135 = NOR(137, 132)
T1739:	136 = INIT1
T1740:	136 = NOR(135, 137)
T1741:	137 = INIT1
T1742:	137 = NOR(135, 132)
T1743:	116 = INIT1
T1744:	116 = NOR(137, 136)
T1745:	132 = INIT1
T1746:	132 = NOR(134, 135)
T1747:	134 = INIT1
T1748:	134 = NOT(58)
T1749:	135 = INIT1
T1750:	135 = NOR(58, 95)
T1751:	136 = INIT1
T1752:	136 = NOR(134, 129)
T1753:	133 = INIT1
T1754:	133 = NOR(135, 136)
T1755:	134 = INIT1
T1756:	134 = NOR(117, 133)
T1757:	135 = INIT1
T1758:	135 = NOR(117, 134)
T1759:	136 = INIT1
T1760:	136 = NOR(133, 134)
T1761:	137 = INIT1
T1762:	137 = NOR(135, 136)
T1763:	135 = INIT1
T1764:	135 = NOR(137, 132)
T1765:	136 = INIT1
T1766:	136 = NOR(135, 137)
T1767:	137 = INIT1
T1768:	137 = NOR(135, 132)
T1769:	117 = INIT1
T1770:	117 = NOR(137, 136)
T1771:	132 = INIT1
T1772:	132 = NOR(134, 135)
T1773:	134 = INIT1
T1774:	134 = NOT(59)
T1775:	135 = INIT1
T1776:	135 = NOR(59, 95)
T1777:	136 = INIT1
T1778:	136 = NOR(134, 129)
T1779:	133 = INIT1
T1780:	133 = NOR(135, 136)
T1781:	134 = INIT1
T1782:	134 = NOR(118, 133)
T1783:	135 = INIT1
T1784:	135 = NOR(118, 134)
T1785:	136 = INIT1
T1786:	136 = NOR(133, 134)
T1787:	137 = INIT1
T1788:	137 = NOR(135, 136)
T1789:	135 = INIT1
T1790:	135 = NOR(137, 132)
T1791:	136 = INIT1
T1792:	136 = NOR(135, 137)
T1793:	137 = INIT1
T1794:	137 = NOR(135, 132)
T1795:	118 = INIT1
T1796:	118 = NOR(137, 136)
T1797:	132 = INIT1
T1798:	132 = NOR(134, 135)
T1799:	134 = INIT1
T1800:	134 = NOT(60)
T1801:	135 = INIT1
T1802:	135 = NOR(60, 95)
T1803:	136 = INIT1
T1804:	136 = NOR(134, 129)
T1805:	133 = INIT1
T1806:	133 = NOR(135, 136)
T1807:	134 = INIT1
T1808:	134 = NOR(119, 133)
T1809:	135 = INIT1
T1810:	135 = NOR(119, 134)
T1811:	136 = INIT1
T1812:	136 = NOR(133, 134)
T1813:	137 = INIT1
T1814:	137 = NOR(135, 136)
T1815:	135 = INIT1
T1816:	135 = NOR(137, 132)
T1817:	136 = INIT1
T1818:	136 = NOR(135, 137)
T1819:	137 = INIT1
T1820:	137 = NOR(135, 132)
T1821:	119 = INIT1
T1822:	119 = NOR(137, 136)
T1823:	132 = INIT1
T1824:	132 = NOR(134, 135)
T1825:	134 = INIT1
T1826:	134 = NOT(61)
T1827:	135 = INIT1
T1828:	135 = NOR(61, 95)
T1829:	136 = INIT1
T1830:	136 = NOR(134, 129)
T1831:	133 = INIT1
T1832:	133 = NOR(135, 136)
T1833:	134 = INIT1
T1834:	134 = NOR(120, 133)
T1835:	135 = INIT1
T1836:	135 = NOR(120, 134)
T1837:	136 = INIT1
T1838:	136 = NOR(133, 134)
T1839:	137 = INIT1
T1840:	137 = NOR(135, 136)
T1841:	135 = INIT1
T1842:	135 = NOR(137, 132)
T1843:	136 = INIT1
T1844:	136 = NOR(135, 137)
